Sets,Continents,Population,Source,n,,,,,,
Mericarps,Africa,Island,Herbarium,8,,,,,,
,,,Natural Populations,-,,,,,,
,,Continent,Herbarium,39,,,,,,291
,,,Natural Populations,-,,,,,,1009
,North and Central America,Island,Herbarium,86,,,,,,3750
,,,Natural Populations,200,,,,,,75
,,Continent,Herbarium,81,,,,,,6
,,,Natural Populations,924,,,,,,20
,South America,Island,Herbarium,505,,,,,,22
,,,Natural Populations,3245,,,,,,-
,,Continent,Herbarium,79,,,,,,260
,,,Natural Populations,-,,,,,,252
Flowers,Africa,Island,Herbarium,,,,,,,52
,,,Natural Populations,,,,,,,6
,,Continent,Herbarium,,,,,,,69
,,,Natural Populations,,,,,,,85
,Asia,Island,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
,,Continent,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
,North America and Caribbean,Island,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
,,Continent,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
,Oceania,Island,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
,,Continent,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
,South America,Island,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
,,Continent,Herbarium,,,,,,,
,,,Natural Populations,,,,,,,
